rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P52100001661,BALAJI EMPIRE,AAKAR DEVELOPERS,Haveli,Pune,412101,MAHARASHTRA,2018-05-10,maharera
P51900000567,NEW CUFFE PARADE - LODHA EVOQ 41st Floor,LODHA DEVELOPERS LIMITED,Ward FNorth,Mumbai City,400022,MAHARASHTRA,2020-06-16,maharera
P51700002614,MADHUBAN F1 F2,Abhilasha Venture,Kalyan,Thane,421605,MAHARASHTRA,2020-06-13,maharera
P52100002624,PRATIBHA SADAN CO. OP. HSG. SOC.,VYAS BUILDCON PVT. LTD.,Haveli,Pune,411038,MAHARASHTRA,2018-05-10,maharera
P52100001406,SHUBHARAMBH,I BUILD SUPREME UNION JV,Haveli,Pune,411016,MAHARASHTRA,2020-06-17,maharera
P51800002698,SHEETAL HEIGHTS,TOUGHCONS REALTORS PRIVATE LIMITED,Borivali,Mumbai Suburban,400097,MAHARASHTRA,2021-09-09,maharera
P53000002901,THE EMPIRE,WESTIN INFRA,Karvir,Kolhapur,416003,MAHARASHTRA,2021-10-25,maharera
P51700002512,ASHWA ANNEX,ASHWAMEDH CONSTRUCTION,Thane,Thane,400602,MAHARASHTRA,2017-08-01,maharera
P52000006156,Sonai Residency,Aayushi Enterprises,Panvel,Raigarh,410206,MAHARASHTRA,2017-08-14,maharera
P99000000974,VBHC Greenwoods,VBHDC Bangalore Value Homes Private Limited,Palghar,Palghar,401404,MAHARASHTRA,2018-07-05,maharera
P53000003111,Pratiraj Towers,PRATIK TOWNSHIP & INFRA PROJECTS PVT LTD,Karvir,Kolhapur,416003,MAHARASHTRA,2017-08-04,maharera
P52000002329,ROYAL PRIDE,ROYAL BUILDERS AND DEVELOPERS,Panvel,Raigarh,410206,MAHARASHTRA,2017-07-31,maharera
P52100001087,SHERLYN AVENUE,SHARAD SOPAN SHENDE,Haveli,Pune,411021,MAHARASHTRA,2021-09-09,maharera
P52100001774,The Villas,Sukhwani Associates,Mawal,Pune,410401,MAHARASHTRA,2017-07-29,maharera
P51900004420,SUMUKH,Bhalchandra Vinayak Wadnerkar,Mumbai City,Mumbai City,400012,MAHARASHTRA,2017-08-09,maharera
P51800002161,ANANDI HEIGHTS,Sarvoday Enterprises,Kurla,Mumbai Suburban,400080,MAHARASHTRA,2021-09-09,maharera
P52100006797,Marvel Bounty J Building,MARVEL SIGMA HOMES PRIVATE LIMITED,Haveli,Pune,411028,MAHARASHTRA,2025-12-05,maharera
P51800006915,Rustomjee Pinnacle,KEYSTONE REALTORS LIMITED,Borivali,Mumbai Suburban,400066,MAHARASHTRA,2017-08-16,maharera
P51800005637,Vengurlekars Chaitra,Vengurlekars Shreesai Builders and Developers Private Limited,Andheri,Mumbai Suburban,400053,MAHARASHTRA,2025-01-21,maharera
P52100007453,Marvel Bounty K Building,MARVEL SIGMA HOMES PRIVATE LIMITED,Haveli,Pune,411007,MAHARASHTRA,2017-08-17,maharera
P52100003159,AXIS VERTIGA,AXIS LIFESPACES LLP,Haveli,Pune,411060,MAHARASHTRA,2021-09-09,maharera
P52100001895,Pebbles-HighMont Phase-1,New World Landmark LLP,Mulshi,Pune,411057,MAHARASHTRA,2017-07-29,maharera
P52100004824,INFINITY TOWER  - B WING,TULIP DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2017-11-13,maharera
P52000001492,BALINE ROYALE,DWEEPMALA DEVELOPERS,Panvel,Raigarh,410206,MAHARASHTRA,2017-07-28,maharera
P52100003653,Marvel Piazza phase -01,MARVEL ZETA DEVELOPERS PVT LTD,Haveli,Pune,411047,MAHARASHTRA,2021-09-09,maharera
P52100013600,SANTOSHI VILLAGE PHASE 1,BALASAHEB BAPURAO KOLPE,Baramati,Pune,413102,MAHARASHTRA,2017-10-16,maharera
P51700000589,N G BAVENO,RNA Builders (NG),Thane,Thane,401105,MAHARASHTRA,2021-09-09,maharera
P51800002386,EAST EDEN,PRIMA TERRA LANDMARK PVT LTD,Andheri,Mumbai Suburban,400057,MAHARASHTRA,2024-11-19,maharera
P51700000725,SARVODAY AANAND,OM SAI LAND DEVELOPERS,Kalyan,Thane,421202,MAHARASHTRA,2025-05-26,maharera
P51900005034,Aden Court,Gupta Housing Pvt Ltd,Ward FNorth,Mumbai City,400019,MAHARASHTRA,2017-08-09,maharera
P52100002834,"Prithvi Presidio, Buiding B, Phase-1",KELE REALCORP PVT LTD,Haveli,Pune,411028,MAHARASHTRA,2021-09-09,maharera
P52100004321,Hi Face,MBM Developers,Haveli,Pune,411027,MAHARASHTRA,2021-09-09,maharera
P52000002530,SIDDHIVINAYAK PHASE 1,GOKA ENGINEERING COMPANY PVT LTD,Mangaon,Raigarh,402308,MAHARASHTRA,2017-08-01,maharera
P52100001105,MANTRA INSIGNIA COMMERCIAL PHASE 1,MANTRA INSIGNIA LLP,Pune City,Pune,411036,MAHARASHTRA,2017-07-26,maharera
P51800002313,INSIGNIA,ULTRA SPACE DEVELOPERS PRIVATE LIMITED,Andheri,Mumbai Suburban,400051,MAHARASHTRA,2021-09-09,maharera
P51700005590,ASTER A WING RUCHA VATIKA,MILAN HOUSING COMPLEX PVT. LTD.,Kalyan,Thane,421605,MAHARASHTRA,2017-08-11,maharera
P52100003107,PARIJAAT RESIDENCY,JAGDAMBA REALTORS,Mawal,Pune,410507,MAHARASHTRA,2017-08-04,maharera
P52000002944,CLASSIC RESIDENCY,CLASSIC CONVENTURE,Uran,Raigarh,400702,MAHARASHTRA,2019-05-21,maharera
P99000003833,AGARWAL SOLITAIRE,AGARWAL BUILDERS,Vasai,Palghar,401303,MAHARASHTRA,2017-08-06,maharera
P52100007687,SIDHIVINAYAK RESIDENCY,SWARAJ CONSTRUCTION,Haveli,Pune,411027,MAHARASHTRA,2023-01-24,maharera
P51800003639,ARKK AVENUE,ARKK BUILDERS AND DEVELOPERS,Mumbai,Mumbai Suburban,400077,MAHARASHTRA,2018-10-04,maharera
P52000005588,MANGALMURTI DARSHAN,MANGALMURTI ASSOCIATES,Karjat,Raigarh,410201,MAHARASHTRA,2017-08-11,maharera
P52100001308,Grande View 7 Capital,Chirag Developers,Haveli,Pune,411046,MAHARASHTRA,2023-03-27,maharera
